DATAFLOW,FREQ,REF_AREA,DATA_TYPE,AGE,SEX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_AGE,NOTE_SEX,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y66,9,1971,477820,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y67,1,1971,195701,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y67,2,1971,238791,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y67,9,1971,434492,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y68,1,1971,194264,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y68,2,1971,240939,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y68,9,1971,435203,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y69,1,1971,180995,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y69,2,1971,226084,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y69,9,1971,407079,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y7,1,1971,467607,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y7,2,1971,445626,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y7,9,1971,913233,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y70,1,1971,175670,,,,,,,,,
