compartimento,year,births,deaths_u5,u5mr,source
MARCHE,1921,37396,6936,185.47,Raftakis manual
PIEMONTE,1921,68413,10785,157.65,Raftakis manual
PUGLIE,1921,82442,22879,277.52,Raftakis manual
SARDEGNA,1921,26201,6261,238.96,Raftakis manual
SICILIA,1921,111072,27477,247.38,Raftakis manual
TOSCANA,1921,80833,11667,144.33,Raftakis manual
UMBRIA,1921,24812,4300,173.3,Raftakis manual
VENETO,1921,136180,23134,169.88,Raftakis manual
ABRUZZI E MOLISE,1922,50714,9352,184.41,Raftakis manual
BASILICATA,1922,18339,4334,236.33,Raftakis manual
CALABRIE,1922,55027,11378,206.77,Raftakis manual
CAMPANIA,1922,121623,25576,210.29,Raftakis manual
EMILIA,1922,88206,13227,149.96,Raftakis manual
LAZIO,1922,46911,8423,179.55,Raftakis manual
LIGURIA,1922,26468,3685,139.22,Raftakis manual
LOMBARDIA,1922,141209,29166,206.54,Raftakis manual
MARCHE,1922,37726,5779,153.18,Raftakis manual
PIEMONTE,1922,68865,8922,129.56,Raftakis manual
PUGLIE,1922,86888,25139,289.33,Raftakis manual
SARDEGNA,1922,28518,6018,211.02,Raftakis manual
SICILIA,1922,119457,27105,226.9,Raftakis manual
TOSCANA,1922,75821,11482,151.44,Raftakis manual
UMBRIA,1922,23908,3644,152.42,Raftakis manual
VENETO,1922,137764,23850,173.12,Raftakis manual
ABRUZZI E MOLISE,1923,48710,10417,213.86,Raftakis manual
BASILICATA,1923,18653,4707,252.35,Raftakis manual
CALABRIE,1923,55045,10640,193.3,Raftakis manual
CAMPANIA,1923,124443,25454,204.54,Raftakis manual
EMILIA,1923,85524,14507,169.62,Raftakis manual
LAZIO,1923,47273,8466,179.09,Raftakis manual
LIGURIA,1923,25317,3714,146.7,Raftakis manual
LOMBARDIA,1923,139454,31326,224.63,Raftakis manual
MARCHE,1923,36885,6811,184.66,Raftakis manual
PIEMONTE,1923,63465,9618,151.55,Raftakis manual
PUGLIE,1923,87548,23780,271.62,Raftakis manual
SARDEGNA,1923,28627,6424,224.4,Raftakis manual
SICILIA,1923,113503,27178,239.45,Raftakis manual
TOSCANA,1923,73063,10500,143.71,Raftakis manual
UMBRIA,1923,23455,4415,188.23,Raftakis manual
VENETO,1923,136540,24345,178.3,Raftakis manual
ABRUZZI E MOLISE,1924,48724,10239,210.14,Raftakis manual
BASILICATA,1924,17662,4358,246.74,Raftakis manual
CALABRIE,1924,55910,11546,206.51,Raftakis manual
CAMPANIA,1924,123076,28924,235.01,Raftakis manual
EMILIA,1924,83905,14682,174.98,Raftakis manual
LAZIO,1924,49372,8406,170.26,Raftakis manual
LIGURIA,1924,24314,3382,139.1,Raftakis manual
LOMBARDIA,1924,134970,28212,209.02,Raftakis manual
MARCHE,1924,34291,5903,172.14,Raftakis manual
PIEMONTE,1924,60536,7737,127.81,Raftakis manual
PUGLIE,1924,83624,23680,283.17,Raftakis manual
SARDEGNA,1924,29611,5873,198.34,Raftakis manual
SICILIA,1924,118744,26140,220.14,Raftakis manual
TOSCANA,1924,67664,8954,132.33,Raftakis manual
UMBRIA,1924,19058,3275,171.84,Raftakis manual
VENETO,1924,136853,23196,169.5,Raftakis manual
VENEZIA GIULIA E ZARA,1924,18065,4351,240.85,Raftakis manual
VENEZIA TRIDENTINA,1924,18091,3338,184.51,Raftakis manual
ABRUZZI E MOLISE,1925,48355,11223,232.1,Raftakis manual
BASILICATA,1925,17803,5039,283.04,Raftakis manual
CALABRIE,1925,54113,11513,212.76,Raftakis manual
CAMPANIA,1925,123394,30861,250.1,Raftakis manual
EMILIA,1925,83336,11651,139.81,Raftakis manual
