COD_PROV,DEN_PROV,year,deaths,cdr,imr,e0
1,Torino,1894,26454,24.26,,
81,Trapani,1894,7978,23.58,,
26,Treviso,1894,7166,17.96,,
30,Udine,1894,11329,20.21,,
27,Venezia,1894,9188,23.81,,
23,Verona,1894,9285,22.52,,
24,Vicenza,1894,9597,22.34,,
72,Bari,1901,592,0.72,,
84,Girgenti,1901,256,0.69,,
45,MassaCarrara,1901,168,0.86,,
8,PortoMaurizio,1901,74,0.52,,
80,ReggioCalabria,1901,200,0.47,,
35,ReggioEmilia,1901,284,1.04,,
66,Aquila,1911,2231,5.5,,
72,Bari,1911,2807,3.15,,
84,Girgenti,1911,540,1.39,,
45,MassaCarrara,1911,1744,8.22,,
8,PortoMaurizio,1911,2901,19.84,,
80,ReggioCalabria,1911,2819,6.35,,
35,ReggioEmilia,1911,11972,38.59,,
6,Alessandria,1900,17155,21.26,,
42,Ancona,1900,7383,24.6,,
66,Aquila,1900,9384,23.81,,
51,Arezzo,1900,6487,24.04,,
44,AscoliPiceno,1900,5370,22.09,,
64,Avellino,1900,9685,24.1,,
72,Bari,1900,20392,24.93,,
25,Belluno,1900,4138,21.57,,
62,Benevento,1900,6198,24.27,,
16,Bergamo,1900,12482,27.39,,
37,Bologna,1900,11970,22.86,,
17,Brescia,1900,12549,23.47,,
92,Cagliari,1900,12598,26.25,,
85,Caltanissetta,1900,8793,27.11,,
70,Campobasso,1900,9767,26.66,,
61,Caserta,1900,19320,24.73,,
87,Catania,1900,18636,26.73,,
79,Catanzaro,1900,14115,29.79,,
69,Chieti,1900,8549,23.16,,
13,Como,1900,12672,21.98,,
78,Cosenza,1900,11330,24.42,,
19,Cremona,1900,8015,24.55,,
4,Cuneo,1900,14886,23.36,,
38,Ferrara,1900,6381,23.68,,
48,Firenze,1900,20146,21.64,,
71,Foggia,1900,12875,30.52,,
40,Forli,1900,6569,23.53,,
10,Genova,1900,19481,21.06,,
84,Girgenti,1900,9893,26.88,,
53,Grosseto,1900,3155,22.07,,
75,Lecce,1900,19060,27.29,,
49,Livorno,1900,2743,22.17,,
46,Lucca,1900,6391,20.13,,
43,Macerata,1900,5940,22.99,,
20,Mantova,1900,6508,20.93,,
45,MassaCarrara,1900,4276,22.04,,
83,Messina,1900,13526,25.09,,
15,Milano,1900,34906,24.5,,
36,Modena,1900,7244,23.08,,
63,Napoli,1900,29391,25.71,,
3,Novara,1900,16183,21.89,,
28,Padova,1900,8669,19.67,,
82,Palermo,1900,19196,24.61,,
34,Parma,1900,6590,22.52,,
18,Pavia,1900,10009,20.21,,
54,Perugia,1900,14858,22.44,,
41,PesaroUrbino,1900,6421,25.45,,
33,Piacenza,1900,5342,21.88,,
50,Pisa,1900,6230,19.55,,
8,PortoMaurizio,1900,3128,22.0,,
76,Potenza,1900,14754,29.99,,
39,Ravenna,1900,5127,21.82,,
80,ReggioCalabria,1900,11732,27.57,,
35,ReggioEmilia,1900,6595,24.17,,
58,Roma,1900,27713,23.45,,
29,Rovigo,1900,4932,22.26,,
65,Salerno,1900,16097,28.57,,
90,Sassari,1900,7421,24.3,,
52,Siena,1900,5538,23.84,,
89,Siracusa,1900,12553,29.7,,
67,Teramo,1900,6810,22.38,,
1,Torino,1900,25515,22.81,,
81,Trapani,1900,8100,22.29,,
26,Treviso,1900,7891,19.26,,
30,Udine,1900,12624,21.48,,
27,Venezia,1900,8729,21.86,,
23,Verona,1900,8294,19.71,,
24,Vicenza,1900,8945,20.1,,
6,Alessandria,1891,13352,17.33,,
42,Ancona,1891,5433,19.09,,
66,Aquila,1891,7865,20.99,,
51,Arezzo,1891,4737,18.57,,
44,AscoliPiceno,1891,4173,18.38,,
64,Avellino,1891,8155,20.52,,
72,Bari,1891,16883,22.44,,
25,Belluno,1891,3379,18.42,,
62,Benevento,1891,4965,20.07,,
16,Bergamo,1891,9062,21.33,,
37,Bologna,1891,8869,18.02,,
17,Brescia,1891,9171,18.17,,
92,Cagliari,1891,7969,17.64,,
85,Caltanissetta,1891,6788,22.87,,
70,Campobasso,1891,7391,20.2,,
61,Caserta,1891,15269,20.38,,
87,Catania,1891,13067,20.62,,
79,Catanzaro,1891,9528,20.94,,
69,Chieti,1891,6853,19.19,,
13,Como,1891,10019,18.3,,
78,Cosenza,1891,9199,20.09,,
19,Cremona,1891,5640,17.91,,
4,Cuneo,1891,11239,17.66,,
38,Ferrara,1891,5198,20.7,,
48,Firenze,1891,15282,17.67,,
71,Foggia,1891,8435,21.59,,
40,Forli,1891,5189,19.52,,
10,Genova,1891,14540,17.17,,
84,Girgenti,1891,7929,23.21,,
53,Grosseto,1891,2368,18.3,,
75,Lecce,1891,13027,20.69,,
49,Livorno,1891,1820,14.83,,
46,Lucca,1891,5498,18.21,,
43,Macerata,1891,4473,17.93,,
20,Mantova,1891,5328,17.54,,
45,MassaCarrara,1891,3787,20.77,,
83,Messina,1891,10382,20.68,,
15,Milano,1891,26324,20.6,,
36,Modena,1891,5927,19.93,,
63,Napoli,1891,20841,19.37,,
3,Novara,1891,12212,17.22,,
28,Padova,1891,7658,18.22,,
82,Palermo,1891,14918,20.12,,
34,Parma,1891,5074,18.08,,
18,Pavia,1891,8531,17.66,,
54,Perugia,1891,11311,18.26,,
41,PesaroUrbino,1891,4567,19.15,,
33,Piacenza,1891,4087,17.33,,
50,Pisa,1891,4952,16.4,,
8,PortoMaurizio,1891,2118,15.41,,
76,Potenza,1891,10683,21.06,,
39,Ravenna,1891,3666,15.9,,
80,ReggioCalabria,1891,8422,21.03,,
35,ReggioEmilia,1891,5241,20.19,,
58,Roma,1891,19238,18.33,,
29,Rovigo,1891,4440,20.21,,
65,Salerno,1891,11068,19.87,,
90,Sassari,1891,5139,18.07,,
