province,year,marriages,COD_PROV,DEN_PROV,source,validated
Mantova,1868,1597,20,Mantova,TAVOLA_VI_1881,OK
Massa e Carrara,1868,964,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1868,2201,83,Messina,TAVOLA_VI_1881,OK
Milano,1868,8116,15,Milano,TAVOLA_VI_1881,OK
Modena,1868,1799,36,Modena,TAVOLA_VI_1881,OK
Napoli,1868,5775,63,Napoli,TAVOLA_VI_1881,OK
Novara,1868,4614,3,Novara,TAVOLA_VI_1881,OK
Padova,1868,3376,28,Padova,TAVOLA_VI_1881,OK
Palermo,1868,4005,82,Palermo,TAVOLA_VI_1881,OK
Parma,1868,2045,34,Parma,TAVOLA_VI_1881,OK
Pavia,1868,3756,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1868,2592,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1868,677,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1868,1682,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1868,1347,50,Pisa,TAVOLA_VI_1881,OK
Porto Maurizio,1868,816,8,Porto Maurizio,TAVOLA_VI_1881,OK
